Session,Match_Number,Venue,Date_and_Time,Winning_Team,First_team,Second_Team,Link
2021,59,"Sharjah Cricket Stadium, Sharjah","OCT, WED 13 , 07:30 PM IST",KOLKATA KNIGHT RIDERS WON BY 3 WICKETS,"KOLKATA KNIGHT RIDERS
136/7
(19.5 OV)","DELHI CAPITALS
135/5
(20 OV )",https://www.iplt20.com/match/2021/10890
2021,58,"Sharjah Cricket Stadium, Sharjah","OCT, MON 11 , 07:30 PM IST",KOLKATA KNIGHT RIDERS WON BY 4 WICKETS,"ROYAL CHALLENGERS BANGALORE
138/7
(20 OV)","KOLKATA KNIGHT RIDERS
139/6
(19.4 OV )",https://www.iplt20.com/match/2021/10887
2021,57,"Dubai International Stadium, Dubai","OCT, SUN 10 , 07:30 PM IST",CHENNAI SUPER KINGS WON BY 4 WICKETS,"DELHI CAPITALS
172/5
(20 OV)","CHENNAI SUPER KINGS
173/6
(19.4 OV )",https://www.iplt20.com/match/2021/10888
2021,55,"Dubai International Stadium, Dubai","OCT, FRI 8 , 07:30 PM IST",ROYAL CHALLENGERS BANGALORE WON BY 7 WICKETS,"ROYAL CHALLENGERS BANGALORE
166/3
(20 OV)","DELHI CAPITALS
164/5
(20 OV )",https://www.iplt20.com/match/2021/10886
2021,56,"Zayed Cricket Stadium, Abu Dhabi","OCT, FRI 8 , 07:30 PM IST",MUMBAI INDIANS WON BY 42 RUNS,"SUNRISERS HYDERABAD
193/8
(20 OV)","MUMBAI INDIANS
235/9
(20 OV )",https://www.iplt20.com/match/2021/10889
2021,54,"Sharjah Cricket Stadium, Sharjah","OCT, THU 7 , 07:30 PM IST",KOLKATA KNIGHT RIDERS WON BY 86 RUNS,"KOLKATA KNIGHT RIDERS
171/4
(20 OV)","RAJASTHAN ROYALS
85
(16.1 OV )",https://www.iplt20.com/match/2021/10885
2021,53,"Dubai International Stadium, Dubai","OCT, THU 7 , 03:30 PM IST",PUNJAB KINGS WON BY 6 WICKETS,"CHENNAI SUPER KINGS
134/6
(20 OV)","PUNJAB KINGS
139/4
(13 OV )",https://www.iplt20.com/match/2021/10884
2021,52,"Zayed Cricket Stadium, Abu Dhabi","OCT, WED 6 , 07:30 PM IST",SUNRISERS HYDERABAD WON BY 4 RUNS,"ROYAL CHALLENGERS BANGALORE
137/6
(20 OV)","SUNRISERS HYDERABAD
141/7
(20 OV )",https://www.iplt20.com/match/2021/10883
2021,51,"Sharjah Cricket Stadium, Sharjah","OCT, TUE 5 , 07:30 PM IST",MUMBAI INDIANS WON BY 8 WICKETS,"RAJASTHAN ROYALS
90/9
(20 OV)","MUMBAI INDIANS
94/2
(8.2 OV )",https://www.iplt20.com/match/2021/10881
2021,50,"Dubai International Stadium, Dubai","OCT, MON 4 , 07:30 PM IST",DELHI CAPITALS WON BY 3 WICKETS,"DELHI CAPITALS
139/7
(19.4 OV)","CHENNAI SUPER KINGS
136/5
(20 OV )",https://www.iplt20.com/match/2021/10880
2021,49,"Dubai International Stadium, Dubai","OCT, SUN 3 , 07:30 PM IST",KOLKATA KNIGHT RIDERS WON BY 6 WICKETS,"KOLKATA KNIGHT RIDERS
119/4
(19.4 OV)","SUNRISERS HYDERABAD
115/8
(20 OV )",https://www.iplt20.com/match/2021/10882
2021,FINAL,"Sharjah Cricket Stadium, Sharjah","OCT, SUN 3 , 03:30 PM IST",ROYAL CHALLENGERS BANGALORE WON BY 6 RUNS,"ROYAL CHALLENGERS BANGALORE
164/7
(20 OV)","PUNJAB KINGS
158/6
(20 OV )",https://www.iplt20.com/match/2021/10879
2021,47,"Zayed Cricket Stadium, Abu Dhabi","OCT, SAT 2 , 07:30 PM IST",RAJASTHAN ROYALS WON BY 7 WICKETS,"RAJASTHAN ROYALS
190/3
(17.3 OV)","CHENNAI SUPER KINGS
189/4
(20 OV )",https://www.iplt20.com/match/2021/10878
2021,46,"Sharjah Cricket Stadium, Sharjah","OCT, SAT 2 , 03:30 PM IST",DELHI CAPITALS WON BY 4 WICKETS,"MUMBAI INDIANS
129/8
(20 OV)","DELHI CAPITALS
132/6
(19.1 OV )",https://www.iplt20.com/match/2021/10877
2021,45,"Dubai International Stadium, Dubai","OCT, FRI 1 , 07:30 PM IST",PUNJAB KINGS WON BY 5 WICKETS,"KOLKATA KNIGHT RIDERS
165/7
(20 OV)","PUNJAB KINGS
168/5
(19.3 OV )",https://www.iplt20.com/match/2021/10876
2021,44,"Sharjah Cricket Stadium, Sharjah","SEP, THU 30 , 07:30 PM IST",CHENNAI SUPER KINGS WON BY 6 WICKETS,"SUNRISERS HYDERABAD
134/7
(20 OV)","CHENNAI SUPER KINGS
139/4
(19.4 OV )",https://www.iplt20.com/match/2021/10874
2021,43,"Dubai International Stadium, Dubai","SEP, WED 29 , 07:30 PM IST",ROYAL CHALLENGERS BANGALORE WON BY 7 WICKETS,"RAJASTHAN ROYALS
149/9
(20 OV)","ROYAL CHALLENGERS BANGALORE
153/3
(17.1 OV )",https://www.iplt20.com/match/2021/10875
2021,42,"Zayed Cricket Stadium, Abu Dhabi","SEP, TUE 28 , 07:30 PM IST",MUMBAI INDIANS WON BY 6 WICKETS,"MUMBAI INDIANS
137/4
(19 OV)","PUNJAB KINGS
135/6
(20 OV )",https://www.iplt20.com/match/2021/10872
2021,41,"Sharjah Cricket Stadium, Sharjah","SEP, TUE 28 , 03:30 PM IST",KOLKATA KNIGHT RIDERS WON BY 3 WICKETS,"KOLKATA KNIGHT RIDERS
130/7
(18.2 OV)","DELHI CAPITALS
127/9
(20 OV )",https://www.iplt20.com/match/2021/10873
2021,40,"Dubai International Stadium, Dubai","SEP, MON 27 , 07:30 PM IST",SUNRISERS HYDERABAD WON BY 7 WICKETS,"SUNRISERS HYDERABAD
167/3
(18.3 OV)","RAJASTHAN ROYALS
164/5
(20 OV )",https://www.iplt20.com/match/2021/10870
2021,39,"Dubai International Stadium, Dubai","SEP, SUN 26 , 07:30 PM IST",ROYAL CHALLENGERS BANGALORE WON BY 54 RUNS,"ROYAL CHALLENGERS BANGALORE
165/6
(20 OV)","MUMBAI INDIANS
111
(18.1 OV )",https://www.iplt20.com/match/2021/10871
2021,38,"Zayed Cricket Stadium, Abu Dhabi","SEP, SUN 26 , 03:30 PM IST",CHENNAI SUPER KINGS WON BY 2 WICKETS,"CHENNAI SUPER KINGS
172/8
(20 OV)","KOLKATA KNIGHT RIDERS
171/6
(20 OV )",https://www.iplt20.com/match/2021/10869
